Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-02052019-1234-2683,,,,,filtered
4334.223,1603.667,2177.833,135.803,29.737,21.489,
4338.79,1552.667,2137.167,137.645,31.578,20.342,
4343.357,1655.833,2067.5,124.862,18.795,18.979,
4347.925,1579.167,1919.333,121.541,15.474,19.014,
4352.492,1492.667,1959.833,131.297,25.231,19.404,
4357.059,1629.333,1960.667,120.336,14.269,18.721,
4361.626,1621.167,1994.5,123.029,16.962,19.233,
4366.193,1703.167,2096.333,123.084,17.018,19.437,
4370.76,1676.333,2158,128.733,22.667,19.622,
4375.328,1524.667,1876.667,123.087,17.02,19.181,
4379.895,1574.333,2165,137.519,31.452,,
4384.462,1716.333,2218.5,129.258,23.192,,
4389.029,1480.5,1916.167,129.427,23.36,,
4393.596,1626.167,1802.833,110.864,4.797,,
4398.163,1621.333,1765,108.861,2.794,,
4402.73,1596,2048.333,128.342,22.275,,
4407.298,1467.333,1965,133.916,27.85,,
4411.865,1588.167,2019.833,127.18,21.114,,
4416.432,1597.667,1896.5,118.704,12.638,,
4420.999,1581,2030.667,128.442,22.375,,
